Dissimilarity Measures in rom 
Region of Origin;2030
2030;totalmig;0.3322
2030;ITA;0.3322
2030;ROU;0.3321
2030;BGD;0.45
2030;PHL;0.4791
2030;EU;0.5016
2030;nonEUEu;0.4361
2030;Africa;0.445
2030;Asia;0.4084
2030;America;0.4761
2040;totalmig;0.3321
2040;ITA;0.3321
2040;ROU;0.3282
2040;BGD;0.4196
2040;PHL;0.4638
2040;EU;0.5015
2040;nonEUEu;0.4299
2040;Africa;0.368
2040;Asia;0.3521
2040;America;0.4473
2050;totalmig;0.3332
2050;ITA;0.3332
2050;ROU;0.3231
2050;BGD;0.3992
2050;PHL;0.4585
2050;EU;0.5065
2050;nonEUEu;0.4308
2050;Africa;0.326
2050;Asia;0.3246
2050;America;0.441
2030;totalmig;0.3322
2030;ITA;0.3322
2030;ROU;0.3321
2030;BGD;0.45
2030;PHL;0.4791
2030;EU;0.5016
2030;nonEUEu;0.4361
2030;Africa;0.445
2030;Asia;0.4084
2030;America;0.4761
2040;totalmig;0.3321
2040;ITA;0.3321
2040;ROU;0.3282
2040;BGD;0.4196
2040;PHL;0.4638
2040;EU;0.5015
2040;nonEUEu;0.4299
2040;Africa;0.368
2040;Asia;0.3521
2040;America;0.4473
2050;totalmig;0.3332
2050;ITA;0.3332
2050;ROU;0.3231
2050;BGD;0.3992
2050;PHL;0.4585
2050;EU;0.5065
2050;nonEUEu;0.4308
2050;Africa;0.326
2050;Asia;0.3246
2050;America;0.441
