Dissimilarity Measures in rom 
Region of Origin;2030
2030;totalmig;0.3428
2030;ITA;0.3428
2030;ROU;0.3627
2030;BGD;0.5892
2030;PHL;0.4753
2030;EU;0.5142
2030;nonEUEu;0.4742
2030;Africa;0.6392
2030;Asia;0.5385
2030;America;0.5831
2040;totalmig;0.3393
2040;ITA;0.3393
2040;ROU;0.3602
2040;BGD;0.5871
2040;PHL;0.4748
2040;EU;0.5151
2040;nonEUEu;0.4743
2040;Africa;0.6399
2040;Asia;0.5402
2040;America;0.5903
2050;totalmig;0.34
2050;ITA;0.34
2050;ROU;0.3498
2050;BGD;0.5959
2050;PHL;0.4888
2050;EU;0.5125
2050;nonEUEu;0.4842
2050;Africa;0.6558
2050;Asia;0.5367
2050;America;0.609
2030;totalmig;0.3428
2030;ITA;0.3428
2030;ROU;0.3627
2030;BGD;0.5892
2030;PHL;0.4753
2030;EU;0.5142
2030;nonEUEu;0.4742
2030;Africa;0.6392
2030;Asia;0.5385
2030;America;0.5831
2040;totalmig;0.3393
2040;ITA;0.3393
2040;ROU;0.3602
2040;BGD;0.5871
2040;PHL;0.4748
2040;EU;0.5151
2040;nonEUEu;0.4743
2040;Africa;0.6399
2040;Asia;0.5402
2040;America;0.5903
2050;totalmig;0.34
2050;ITA;0.34
2050;ROU;0.3498
2050;BGD;0.5959
2050;PHL;0.4888
2050;EU;0.5125
2050;nonEUEu;0.4842
2050;Africa;0.6558
2050;Asia;0.5367
2050;America;0.609
2030;totalmig;0.3428
2030;ITA;0.3428
2030;ROU;0.3627
2030;BGD;0.5892
2030;PHL;0.4753
2030;EU;0.5142
2030;nonEUEu;0.4742
2030;Africa;0.6392
2030;Asia;0.5385
2030;America;0.5831
2040;totalmig;0.3393
2040;ITA;0.3393
2040;ROU;0.3602
2040;BGD;0.5871
2040;PHL;0.4748
2040;EU;0.5151
2040;nonEUEu;0.4743
2040;Africa;0.6399
2040;Asia;0.5402
2040;America;0.5903
2050;totalmig;0.34
2050;ITA;0.34
2050;ROU;0.3498
2050;BGD;0.5959
2050;PHL;0.4888
2050;EU;0.5125
2050;nonEUEu;0.4842
2050;Africa;0.6558
2050;Asia;0.5367
2050;America;0.609
2050;totalmig;0.34
2050;ITA;0.34
2050;ROU;0.3498
2050;BGD;0.5959
2050;PHL;0.4888
2050;EU;0.5125
2050;nonEUEu;0.4842
2050;Africa;0.6558
2050;Asia;0.5367
2050;America;0.609
2050;totalmig;0.34
2050;ITA;0.34
2050;ROU;0.3498
2050;BGD;0.5959
2050;PHL;0.4888
2050;EU;0.5125
2050;nonEUEu;0.4842
2050;Africa;0.6558
2050;Asia;0.5367
2050;America;0.609
2030;totalmig;0.3428
2030;ITA;0.3428
2030;ROU;0.3627
2030;BGD;0.5892
2030;PHL;0.4753
2030;EU;0.5142
2030;nonEUEu;0.4742
2030;Africa;0.6392
2030;Asia;0.5385
2030;America;0.5831
2040;totalmig;0.3393
2040;ITA;0.3393
2040;ROU;0.3602
2040;BGD;0.5871
2040;PHL;0.4748
2040;EU;0.5151
2040;nonEUEu;0.4743
2040;Africa;0.6399
2040;Asia;0.5402
2040;America;0.5903
2050;totalmig;0.34
2050;ITA;0.34
2050;ROU;0.3498
2050;BGD;0.5959
2050;PHL;0.4888
2050;EU;0.5125
2050;nonEUEu;0.4842
2050;Africa;0.6558
2050;Asia;0.5367
2050;America;0.609
