Dissimilarity Measures in rom 
Region of Origin;2001
2001;totalmig;0.5183
2001;ITA;0.5183
2001;ROU;0.8133
2001;BGD;0.961
2001;PHL;0.7249
2001;EU;0.4967
2001;nonEUEu;0.8906
2001;Africa;0.7363
2001;Asia;0.8224
2001;America;0.5895
2011;totalmig;0.4173
2011;ITA;0.4173
2011;ROU;0.5493
2011;BGD;0.8858
2011;PHL;0.6692
2011;EU;0.5182
2011;nonEUEu;0.5049
2011;Africa;0.7725
2011;Asia;0.6814
2011;America;0.5102
2015;totalmig;0.4153
2015;ITA;0.4153
2015;ROU;0.5349
2015;BGD;0.7951
2015;PHL;0.6352
2015;EU;0.4532
2015;nonEUEu;0.5673
2015;Africa;0.7629
2015;Asia;0.5754
2015;America;0.5577
2016;totalmig;0.3922
2016;ITA;0.3922
2016;ROU;0.5271
2016;BGD;0.7569
2016;PHL;0.6376
2016;EU;0.4463
2016;nonEUEu;0.5252
2016;Africa;0.7072
2016;Asia;0.5321
2016;America;0.5566
2017;totalmig;0.398
2017;ITA;0.398
2017;ROU;0.5203
2017;BGD;0.7631
2017;PHL;0.6456
2017;EU;0.4463
2017;nonEUEu;0.5403
2017;Africa;0.7003
2017;Asia;0.5273
2017;America;0.5607
2018;totalmig;0.3964
2018;ITA;0.3964
2018;ROU;0.5217
2018;BGD;0.7394
2018;PHL;0.6429
2018;EU;0.4463
2018;nonEUEu;0.5366
2018;Africa;0.7052
2018;Asia;0.5141
2018;America;0.5602
2019;totalmig;0.3836
2019;ITA;0.3836
2019;ROU;0.5117
2019;BGD;0.7372
2019;PHL;0.6316
2019;EU;0.4435
2019;nonEUEu;0.5305
2019;Africa;0.6686
2019;Asia;0.5114
2019;America;0.5577
2020;totalmig;0.3844
2020;ITA;0.3844
2020;ROU;0.4724
2020;BGD;0.7272
2020;PHL;0.6375
2020;EU;0.4333
2020;nonEUEu;0.4964
2020;Africa;0.6945
2020;Asia;0.5114
2020;America;0.5594
2001;totalmig;0.5183
2011;totalmig;0.4173
2015;totalmig;0.4153
2016;totalmig;0.3922
2017;totalmig;0.398
2018;totalmig;0.3964
2019;totalmig;0.3836
2020;totalmig;0.3844
